place_id,place_id_original,source_dataset,place_name,description,category_original,sub_category,city,province,price,rating,time_minutes,coordinate,lat,long,category_clean,c1_ticket_price,c2_rating,toilet,parking,food,worship,accessibility,information_center,c4_facility_score,activity_tags,feature_source_note,source_url,user_rating_mean,user_rating_count,user_rating_std,facility_toilet_mentioned,facility_parking_mentioned,facility_food_mentioned,facility_worship_mentioned,facility_accessibility_mentioned,facility_information_center_mentioned
1,1,real_jawa_437,Monumen Nasional,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Budaya,,Jakarta,DKI Jakarta,20000,4.6,15.0,"{'lat': -6.1753924, 'lng': 106.8271528}",-6.1753924,106.8271528,budaya,20000.0,4.6,False,False,False,False,False,False,0.0,budaya|sejarah,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,3.7222222222222223,18.0,1.4473324572571657,0,0,0,0,0,0
2,2,real_jawa_437,Kota Tua,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Budaya,,Jakarta,DKI Jakarta,0,4.6,90.0,"{'lat': -6.137644799999999, 'lng': 106.8171245}",-6.1376448,106.8171245,budaya,0.0,4.6,False,False,False,False,False,False,0.0,budaya|edukasi|sejarah,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,2.875,24.0,1.3929168644626098,0,0,0,0,0,0
3,3,real_jawa_437,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Taman Hiburan,,Jakarta,DKI Jakarta,270000,4.6,360.0,"{'lat': -6.125312399999999, 'lng': 106.8335377}",-6.1253124,106.8335377,hiburan,270000.0,4.6,False,False,False,False,False,False,0.0,rekreasi_keluarga,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,2.388888888888889,18.0,1.4608172124206968,0,0,0,0,0,0
4,4,real_jawa_437,Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT",Taman Hiburan,,Jakarta,DKI Jakarta,10000,4.5,,"{'lat': -6.302445899999999, 'lng': 106.8951559}",-6.3024459,106.8951559,hiburan,10000.0,4.5,False,False,False,False,False,False,0.0,budaya|rekreasi_keluarga,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,2.857142857142857,21.0,1.4928400545843579,0,0,0,0,0,0
5,5,real_jawa_437,Atlantis Water Adventure,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Taman Hiburan,,Jakarta,DKI Jakarta,94000,4.5,60.0,"{'lat': -6.12419, 'lng': 106.839134}",-6.12419,106.839134,hiburan,94000.0,4.5,False,False,False,False,False,False,0.0,berenang|rekreasi_keluarga,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,3.5217391304347827,23.0,1.3774008863003635,0,0,0,0,0,0
6,6,real_jawa_437,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Taman Hiburan,,Jakarta,DKI Jakarta,25000,4.5,10.0,"{'lat': -6.117333200000001, 'lng': 106.8579951}",-6.1173332,106.8579951,hiburan,25000.0,4.5,False,False,False,False,False,False,0.0,rekreasi_keluarga,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,2.772727272727273,22.0,1.6015414652562279,0,0,0,0,0,0
7,7,real_jawa_437,Kebun Binatang Ragunan,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Cagar Alam,,Jakarta,DKI Jakarta,4000,4.5,,"{'lat': -6.3124593, 'lng': 106.8201865}",-6.3124593,106.8201865,alam,4000.0,4.5,False,False,False,False,False,False,0.0,belanja,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,3.0,20.0,1.2977713690461004,0,0,0,0,0,0
8,8,real_jawa_437,Ocean Ecopark,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.",Taman Hiburan,,Jakarta,DKI Jakarta,180000,4.0,,"{'lat': -6.125801699999999, 'lng': 106.8363249}",-6.1258017,106.8363249,hiburan,180000.0,4.0,False,False,False,False,False,False,0.0,edukasi|rekreasi_keluarga,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,3.103448275862069,29.0,1.4963008575008023,0,0,0,0,0,0
9,9,real_jawa_437,Pelabuhan Marina,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",Bahari,,Jakarta,DKI Jakarta,175000,4.4,,"{'lat': 1.07888, 'lng': 103.931398}",1.07888,103.931398,bahari,175000.0,4.4,False,False,False,False,False,False,0.0,rekreasi_keluarga,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,2.5789473684210527,19.0,1.4265650070355174,0,0,0,0,0,0
10,10,real_jawa_437,Pulau Tidung,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",Bahari,,Jakarta,DKI Jakarta,150000,4.5,,"{'lat': -5.803205300000001, 'lng': 106.5237907}",-5.8032053,106.5237907,bahari,150000.0,4.5,False,False,False,False,False,False,0.0,,C4 dan activity_tags merupakan heuristik deskripsi; perlu verifikasi,Dataset_Wisata_Gabungan_2337.xlsx,2.7142857142857144,14.0,1.0690449676496976,0,0,0,0,0,0
