Place_Id,Place_Name,Description,Category,Sub_Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,Province,Category_Clean,c1_ticket_price,c2_rating,facility_toilet_mentioned,facility_parking_mentioned,facility_food_mentioned,facility_worship_mentioned,facility_accessibility_mentioned,facility_information_center_mentioned,c4_facility_score,activity_tags
1,Pantai Lampuuk,"Pantai Lampuuk di Aceh Barat, Aceh. Destinasi wisata pesisir dengan hamparan pasir bersih, deburan ombak yang menenangkan, serta panorama matahari terbenam yang memukau. Dilengkapi fasilitas warung makan seafood lokal, area parkir, toilet umum, dan persewaan payung pantai.",Pantai,Pantai,Aceh Barat,15000,4.5,150.0,"{'lat': 4.461154, 'lng': 96.128701}",4.461154,96.128701,Aceh,bahari,15000.0,4.5,1,1,1,1,1,1,1.0,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
2,Pantai Iboih Sabang,"Pantai Iboih Sabang di Kota Banda Aceh, Aceh. Destinasi wisata pesisir dengan hamparan pasir bersih, deburan ombak yang menenangkan, serta panorama matahari terbenam yang memukau. Dilengkapi fasilitas warung makan seafood lokal, area parkir, toilet umum, dan persewaan payung pantai.",Pantai,Pantai,Kota Banda Aceh,20000,4.2,120.0,"{'lat': 5.579674, 'lng': 95.290755}",5.579674,95.290755,Aceh,bahari,20000.0,4.2,1,1,1,1,0,1,0.8333,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
3,Pantai Lhoknga,"Pantai Lhoknga di Bener Meriah, Aceh. Pantai eksotis dengan air laut jernih dan deretan pohon kelapa yang rindang. Menjadi lokasi favorit wisatawan untuk bersantai, bermain air bersama keluarga, berswafoto, serta menikmati kelapa muda segar di tepi pantai.",Pantai,Pantai,Bener Meriah,30000,4.8,150.0,"{'lat': 4.695423, 'lng': 96.842607}",4.695423,96.842607,Aceh,bahari,30000.0,4.8,1,1,1,1,0,1,0.8333,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
4,Pantai Ujong Batee,"Pantai Ujong Batee di Kota Sabang, Aceh. Pantai eksotis dengan air laut jernih dan deretan pohon kelapa yang rindang. Menjadi lokasi favorit wisatawan untuk bersantai, bermain air bersama keluarga, berswafoto, serta menikmati kelapa muda segar di tepi pantai.",Pantai,Pantai,Kota Sabang,30000,4.8,180.0,"{'lat': 5.85382, 'lng': 95.341166}",5.85382,95.341166,Aceh,bahari,30000.0,4.8,1,1,1,1,0,1,0.8333,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
5,Pantai Pasir Putih Lhok Me,"Pantai Pasir Putih Lhok Me di Kota Banda Aceh, Aceh. Kawasan pantai dengan keindahan garis pantai memanjang, batuan karang yang menawan, serta angin sepoi-sepoi yang menyegarkan. Sangat cocok untuk aktivitas rekreasi, jalan santai di tepi air, dan piknik sore hari.",Pantai,Pantai,Kota Banda Aceh,5000,4.7,180.0,"{'lat': 5.535228, 'lng': 95.29122}",5.535228,95.29122,Aceh,bahari,5000.0,4.7,1,1,1,1,0,0,0.6667,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
6,Pantai Sumur Tiga,"Pantai Sumur Tiga di Aceh Besar, Aceh. Kawasan pantai dengan keindahan garis pantai memanjang, batuan karang yang menawan, serta angin sepoi-sepoi yang menyegarkan. Sangat cocok untuk aktivitas rekreasi, jalan santai di tepi air, dan piknik sore hari.",Pantai,Pantai,Aceh Besar,20000,4.3,180.0,"{'lat': 5.380054, 'lng': 95.486686}",5.380054,95.486686,Aceh,bahari,20000.0,4.3,1,1,1,1,1,1,1.0,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
7,Pantai Anoi Itam,"Pantai Anoi Itam di Aceh Besar, Aceh. Destinasi wisata pesisir dengan hamparan pasir bersih, deburan ombak yang menenangkan, serta panorama matahari terbenam yang memukau. Dilengkapi fasilitas warung makan seafood lokal, area parkir, toilet umum, dan persewaan payung pantai.",Pantai,Pantai,Aceh Besar,5000,4.5,180.0,"{'lat': 5.389488, 'lng': 95.533066}",5.389488,95.533066,Aceh,bahari,5000.0,4.5,1,1,1,1,1,1,1.0,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
8,Pantai Ujong Kareung,"Pantai Ujong Kareung di Aceh Jaya, Aceh. Pantai eksotis dengan air laut jernih dan deretan pohon kelapa yang rindang. Menjadi lokasi favorit wisatawan untuk bersantai, bermain air bersama keluarga, berswafoto, serta menikmati kelapa muda segar di tepi pantai.",Pantai,Pantai,Aceh Jaya,15000,4.4,180.0,"{'lat': 4.77371, 'lng': 95.629573}",4.77371,95.629573,Aceh,bahari,15000.0,4.4,1,1,1,1,0,0,0.6667,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
9,Pantai Suak Ribee,"Pantai Suak Ribee di Aceh Selatan, Aceh. Destinasi wisata pesisir dengan hamparan pasir bersih, deburan ombak yang menenangkan, serta panorama matahari terbenam yang memukau. Dilengkapi fasilitas warung makan seafood lokal, area parkir, toilet umum, dan persewaan payung pantai.",Pantai,Pantai,Aceh Selatan,25000,4.4,150.0,"{'lat': 3.284932, 'lng': 97.261843}",3.284932,97.261843,Aceh,bahari,25000.0,4.4,1,1,1,1,0,0,0.6667,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
10,Pantai Batee Puteh,"Pantai Batee Puteh di Aceh Jaya, Aceh. Destinasi wisata pesisir dengan hamparan pasir bersih, deburan ombak yang menenangkan, serta panorama matahari terbenam yang memukau. Dilengkapi fasilitas warung makan seafood lokal, area parkir, toilet umum, dan persewaan payung pantai.",Pantai,Pantai,Aceh Jaya,10000,4.7,120.0,"{'lat': 4.817331, 'lng': 95.648353}",4.817331,95.648353,Aceh,bahari,10000.0,4.7,1,1,1,1,1,1,1.0,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
